Year	FishA	FishB	ZooA	ZooB	PhytoA	NutrientsA	NAO	Temp	Salinity
1979	579671	386000	 NA	NA	2.76	3.4167	-2.25	5.832	7.581
1980	696743	249000	6.72435	113.0510875	1.35	4.3917	0.56	5.242	7.53
1981	666132	222000	1.73299584	44.24355174	4.60	3.9	2.05	4.714	7.49
1982	670941	279000	8.649879445	85.63227544	2.33	4.036	0.80	5.656	7.312
1983	645258	418000	3.42	21.806875	1.77	5.228	3.42	7.588	7.346
1984	657667	585000	9.301346685	60.88127778	1.40	3.5	1.60	5.322	7.652
1985	544911	543000	8.049625	46.3771875	3.733333333	3.921	-0.63	6.82	7.396
1986	399372	495000	8.734590892	32.31996355	4.4	4.514	0.5	5.555	7.135
1987	320471	409000	5.235843714	14.8632427	4.275	4.781	-0.75	3.17	7.041
1988	299277	370000	11.17207109	43.05671569	2.675	3.93	0.72	7.018	6.802
1989	240279	392000	20.78899637	32.9172647	1.35	3.524	5.08	7.885	6.847
1990	216041	527000	36.95092122	35.23287653	2.963	3.502	3.96	9.589	7.219
1991	151619	729000	13.01368725	7.358310904	4.475	 NA	1.03	5.911	7.178
1992	93014	968000	 NA	 NA	6.616666667	 NA	3.28	6.781	7.15
1993	113338	1236000	39.45272727	13.07545455	7.785714286	5.189	2.67	6.275	7.153
1994	193254	1277000	19.91714286	23.80714286	1.133333333	4.548	3.03	5.868	6.886
1995	239910	1337000	47.87	11.06914286	3.6	4.408	3.96	7.031	7.099
1996	166984	1699000	9.6945	26.9739375	 NA	4.285	-3.78	3.053	6.969
1997	141682	1672000	55.8325	21.321875	1.416666667	4.026	-0.17	3.665	6.927
1998	114015	1242000	95.32571429	46.145	3.08	2.978	0.72	5.498	6.984
1999	94987	1275000	49.6945	27.3073125	5.6	3.764	1.7	5.086	6.679
2000	118098	1199000	19.4231	7.3398	6.51	4.32	2.8	7.305	7.032
2001	104696	1091000	29.08227273	53.33077273	6.94	3.078	-1.9	6.072	6.522
2002	84254	864000	28.4015	19.15358333	5.57	3.131	0.76	5.548	6.826
2003	80201	725000	47.71509091	42.91420455	3.13	4.165	0.2	3.55	6.788
2004	79419	914000	48.9641	19.040625	4.48	 NA	-0.07	6.54	6.851
2005	66265	1112000	49.71823077	11.25870192	3.84	2.81	0.12	4.769	7.009
2006	83292	877000	27.9625	39.5745375	2.423076923	1.977	-1.09	5.653	6.761
